dc; Solucion Xpress; Solucion Greedy
70; 8; 9
71; 7; 8
72; 7; 8
73; 7; 8
74; 7; 7
75; 6; 7
76; 6; 7
77; 6; 7
78; 6; 6
79; 6; 6
80; 6; 6
81; 6; 6
82; 6; 6
83; 6; 6
84; 6; 6
85; 6; 6
86; 6; 7
87; 6; 7
88; 6; 7
89; 6; 7
90; 6; 7
91; 6; 6
92; 5; 6
93; 5; 6
94; 5; 6
95; 5; 6
96; 5; 6
97; 5; 6
98; 5; 6
99; 5; 6
100; 5; 6
101; 5; 6
102; 5; 6
103; 5; 6
104; 5; 6
105; 4; 5
106; 4; 5
107; 4; 4
108; 4; 4
109; 4; 4
110; 4; 4
111; 4; 4
112; 4; 4
113; 4; 4
114; 4; 4
115; 4; 4
116; 4; 4
117; 4; 4
118; 4; 4
119; 4; 4
120; 4; 4
