dc; Solucion Xpress; Solucion Greedy; Solucion Greedy Aleatorizada
250; 1903; 2705; 1903
251; 1903; 2705; 1903
252; 1903; 2599; 1903
253; 1763; 1796; 1763
254; 1763; 1796; 1763
255; 1763; 1796; 1763
256; 1763; 1796; 1763
257; 1763; 1796; 1763
258; 1763; 1796; 1763
259; 1763; 1796; 1763
260; 1667; 1700; 1667
261; 1667; 1700; 1667
262; 1667; 1700; 1667
263; 1667; 1700; 1667
264; 1667; 1700; 1667
265; 1561; 1700; 1561
266; 1561; 1700; 1561
267; 1561; 1700; 1561
268; 1399; 1561; 1399
269; 1399; 1561; 1399
270; 1399; 1561; 1399
271; 1399; 2327; 1399
272; 1399; 1561; 1399
273; 1345; 1561; 1345
274; 1345; 1561; 1345
275; 1239; 1401; 1239
276; 1239; 1401; 1239
277; 1239; 1401; 1239
278; 1239; 1401; 1239
279; 1234; 1401; 1234
280; 1234; 1540; 1234
281; 1234; 1540; 1234
282; 1234; 1540; 1234
283; 1234; 1540; 1234
284; 1234; 1540; 1234
285; 1234; 1540; 1234
286; 1234; 1540; 1234
287; 1234; 1540; 1234
288; 1234; 1540; 1234
289; 1234; 1540; 1234
290; 1234; 1540; 1234
291; 1061; 1228; 1061
292; 1061; 1669; 1061
293; 1061; 1669; 1061
294; 1061; 1445; 1061
295; 1061; 1846; 1061
296; 1061; 1846; 1061
297; 1061; 1846; 1061
298; 1061; 1846; 1061
299; 1061; 1846; 1061
300; 1061; 1846; 1061
301; 1061; 2382; 1061
302; 1025; 2382; 1025
303; 1025; 2382; 1102
304; 1025; 2382; 1025
305; 1010; 2382; 1010
306; 1010; 2382; 1010
307; 1010; 2382; 1010
308; 1010; 2382; 1024
309; 1010; 2382; 1010
310; 526; 2382; 526
311; 526; 2407; 526
312; 476; 2382; 476
313; 476; 2382; 476
314; 476; 2382; 476
315; 476; 1347; 476
316; 476; 1347; 476
317; 476; 1347; 476
318; 476; 1347; 476
319; 476; 1292; 476
320; 476; 1292; 476
321; 476; 1292; 476
322; 476; 1292; 476
323; 476; 1292; 476
324; 476; 1292; 476
325; 476; 1469; 476
326; 476; 1469; 476
327; 476; 1292; 476
328; 476; 1292; 476
329; 476; 1292; 476
330; 476; 1292; 476
331; 476; 1292; 476
332; 476; 1292; 476
333; 476; 1292; 476
334; 476; 1292; 476
335; 476; 2109; 476
336; 476; 1292; 476
337; 476; 1292; 476
338; 476; 1292; 476
339; 476; 1292; 476
340; 476; 1292; 476
341; 476; 1292; 476
342; 476; 1009; 476
343; 476; 1009; 476
344; 476; 1009; 476
345; 476; 1009; 476
346; 476; 1009; 476
347; 476; 1009; 476
348; 476; 1009; 476
349; 476; 1009; 476
350; 476; 1133; 476
351; 476; 1133; 476
352; 476; 1133; 476
353; 476; 1133; 476
354; 476; 1133; 476
355; 476; 1133; 476
356; 476; 1133; 476
357; 476; 1133; 476
358; 476; 1920; 476
359; 476; 1920; 476
360; 476; 1989; 476
361; 476; 1989; 476
362; 476; 8285; 476
363; 476; 8285; 476
364; 476; 8285; 476
365; 476; 8285; 476
366; 476; 8285; 476
367; 476; 8329; 476
368; 476; 8329; 476
369; 476; 8329; 476
370; 476; 8329; 476
371; 476; 8329; 476
372; 476; 8329; 476
373; 476; 8329; 476
374; 476; 8329; 476
375; 476; 8329; 476
376; 476; 8329; 476
377; 476; 8329; 476
378; 476; 8329; 476
379; 476; 8329; 476
380; 476; 8329; 476
381; 476; 8329; 476
382; 476; 8329; 476
383; 476; 8329; 476
384; 476; 8329; 476
385; 476; 8329; 476
386; 476; 8329; 476
387; 476; 8329; 476
388; 476; 8329; 476
389; 476; 8667; 476
390; 476; 8169; 481
391; 476; 8169; 476
392; 476; 8169; 476
393; 476; 8169; 476
394; 476; 8169; 476
395; 476; 8169; 476
396; 476; 8169; 476
397; 476; 8169; 476
398; 476; 8169; 476
399; 476; 8169; 476
400; 476; 8169; 476
